โรงแรม 20 ห้อง	 type		จำนวนคนเข้าพัก	ราคา
1.  A101	normal		3		1500
2.  A201	normal		1		500
3.  A301	normal		3		1500
4.  A102	sweet		2		2000
5.  A202	sweet		2		2000
6.  B102	sweet		2		2000
7.  B101	normal		1		500
8.  B201	normal		4		1800
9.  B301	normal		4		1800
10. B401	normal		2		1000
11. C102	sweet		2		2000
12. C202	sweet		2		2000
13. C301	normal		4		1800
14. C403	premium		5		5100
15. C503	premium		5		5100
16. D103	premium		6		6200
17. D203	premium		10		12000
18. D303	premium		7		7500
19. D403	premium		1		1500
20. D102	sweet		2		2000
